date time,,packet id,,accel x, accel y, accel z, gyroz, gyro y, gyro z, compass x, compass y , compass z
2011/8/1 12:01:58,,255,,3632,-144,1664,-273,46,-39,-71,-35,239
2011/8/1 12:01:58,,255,,3728,-160,1664,-268,53,-37,-66,-32,228
2011/8/1 12:01:58,,255,,3728,-160,1616,-266,48,-33,-63,-39,235
2011/8/1 12:01:58,,255,,3776,-96,1696,-272,54,-28,-64,-39,232
2011/8/1 12:01:58,,0,,3776,-160,1680,-274,46,-27,-64,-39,232
2011/8/1 12:01:58,,0,,3824,-224,1632,-267,46,-25,-64,-39,232
2011/8/1 12:01:58,,0,,3776,-208,1744,-260,56,-24,-65,-35,232
2011/8/1 12:01:58,,0,,3776,-208,1664,-262,67,-28,-63,-33,232
2011/8/1 12:01:58,,0,,3840,-224,1760,-267,73,-26,-63,-33,232
2011/8/1 12:01:58,,1,,3824,-176,1712,-263,77,-23,-63,-33,232
2011/8/1 12:01:58,,1,,3824,-224,1648,-262,73,-12,-58,-39,231
2011/8/1 12:01:58,,1,,3776,-240,1632,-254,68,-13,-52,-28,236
2011/8/1 12:01:58,,1,,3792,-224,1616,-259,72,-5,-52,-28,236
2011/8/1 12:01:58,,1,,3792,-208,1680,-253,77,-6,-52,-28,236
2011/8/1 12:01:58,,2,,3792,-176,1792,-267,74,0,-56,-39,229
2011/8/1 12:01:58,,2,,3728,-208,1616,-265,77,4,-65,-32,236
2011/8/1 12:01:58,,2,,3712,-160,1744,-262,75,8,-51,-33,225
2011/8/1 12:01:58,,2,,3696,-176,1696,-266,81,12,-51,-33,225
2011/8/1 12:01:58,,2,,3792,-160,1680,-253,83,16,-57,-34,229
2011/8/1 12:01:58,,3,,3824,-160,1552,-248,88,23,-54,-36,231
2011/8/1 12:01:58,,3,,3712,-144,1680,-249,81,29,-57,-38,225
2011/8/1 12:01:58,,3,,3696,-144,1776,-251,82,25,-57,-38,225
2011/8/1 12:01:58,,3,,3632,-80,1664,-244,89,22,-57,-38,225
2011/8/1 12:01:58,,3,,3632,-160,1616,-245,83,10,-53,-32,235
2011/8/1 12:01:58,,4,,3696,16,1600,-238,82,20,-49,-39,227
2011/8/1 12:01:58,,4,,3664,0,1680,-240,81,1,-49,-39,227
2011/8/1 12:01:58,,4,,3728,64,1584,-241,76,-3,-49,-39,227
2011/8/1 12:01:58,,4,,3792,-48,1616,-242,68,-19,-50,-39,224
2011/8/1 12:01:58,,4,,3760,-16,1632,-241,67,-16,-51,-35,227
2011/8/1 12:01:58,,5,,3744,-64,1584,-248,59,-18,-51,-35,227
2011/8/1 12:01:58,,5,,3808,-48,1536,-247,48,-19,-51,-35,227
2011/8/1 12:01:58,,5,,3840,0,1584,-250,39,-16,-49,-37,224
2011/8/1 12:01:58,,5,,3616,-16,1504,-248,34,-13,-46,-39,225
2011/8/1 12:01:58,,5,,3840,-48,1584,-244,22,-11,-42,-41,225
2011/8/1 12:01:58,,6,,3840,-64,1552,-243,18,4,-42,-41,225
2011/8/1 12:01:58,,6,,3888,-64,1712,-245,24,3,-40,-37,233
2011/8/1 12:01:58,,6,,3808,-80,1696,-233,30,6,-38,-41,229
2011/8/1 12:01:58,,6,,3824,-64,1760,-237,39,2,-43,-37,229
2011/8/1 12:01:58,,6,,3888,-112,1824,-224,56,5,-43,-37,229
2011/8/1 12:01:59,,7,,3808,-160,1792,-219,49,5,-43,-37,229
2011/8/1 12:01:59,,7,,3808,-112,1872,-217,57,9,-38,-36,226
2011/8/1 12:01:59,,7,,3888,-192,1744,-220,57,11,-45,-38,234
2011/8/1 12:01:59,,7,,3840,-208,1808,-219,60,7,-45,-38,234
2011/8/1 12:01:59,,7,,3808,-176,1792,-217,62,2,-45,-38,234
2011/8/1 12:01:59,,8,,3808,-160,1840,-225,68,1,-38,-33,230
2011/8/1 12:01:59,,8,,3792,-96,1808,-227,73,2,-41,-34,225
2011/8/1 12:01:59,,8,,3872,-224,1760,-231,83,8,-41,-34,225
2011/8/1 12:01:59,,8,,3744,-208,1920,-239,87,0,-41,-34,225
2011/8/1 12:01:59,,8,,3600,-16,1744,-248,108,-6,-29,-39,226
2011/8/1 12:01:59,,9,,3760,-80,1904,-259,109,5,-32,-33,227
2011/8/1 12:01:59,,9,,3776,-208,1824,-263,120,2,-32,-38,231
2011/8/1 12:01:59,,9,,3760,-224,1744,-274,124,8,-32,-38,231
2011/8/1 12:01:59,,9,,3760,-272,1712,-288,123,8,-35,-37,219
2011/8/1 12:01:59,,9,,3776,-272,1728,-285,121,5,-31,-39,221
2011/8/1 12:01:59,,10,,3760,-192,1728,-295,118,6,-32,-40,224
2011/8/1 12:01:59,,10,,3744,-240,1968,-294,123,5,-32,-40,224
2011/8/1 12:01:59,,10,,3744,-272,1552,-299,129,6,-32,-40,224
2011/8/1 12:01:59,,10,,3664,-304,1728,-304,138,14,-27,-35,219
2011/8/1 12:01:59,,10,,3696,-208,1728,-304,152,12,-23,-43,220
2011/8/1 12:01:59,,11,,3712,-288,1696,-301,152,29,-23,-43,220
2011/8/1 12:01:59,,11,,3712,-160,1760,-301,162,33,-23,-43,220
2011/8/1 12:01:59,,11,,3744,-240,1696,-300,160,40,-26,-43,219
2011/8/1 12:01:59,,11,,3664,-192,1488,-296,161,47,-25,-42,220
2011/8/1 12:01:59,,11,,3728,-256,1408,-291,159,57,-25,-42,220
2011/8/1 12:01:59,,12,,3760,-96,1440,-300,149,68,-25,-42,220
2011/8/1 12:01:59,,12,,3792,-224,1488,-292,139,80,-27,-40,219
2011/8/1 12:01:59,,12,,3744,-192,1424,-296,118,85,-25,-47,218
2011/8/1 12:01:59,,12,,3808,-128,1360,-293,101,98,-21,-42,221
2011/8/1 12:01:59,,12,,3728,-144,1344,-291,76,104,-21,-42,221
2011/8/1 12:01:59,,13,,3776,-240,1376,-289,53,107,-23,-45,221
2011/8/1 12:01:59,,13,,3840,-208,1728,-294,50,100,-17,-44,214
2011/8/1 12:01:59,,13,,3792,-144,1760,-298,46,94,-22,-42,220
2011/8/1 12:01:59,,13,,3840,-160,1520,-296,50,91,-22,-42,220
2011/8/1 12:01:59,,13,,3728,-144,1456,-301,39,86,-13,-46,217
2011/8/1 12:01:59,,14,,3840,-160,1536,-304,31,82,-20,-43,214
